,id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,sqft_above,sqft_basement,yr_built,sqft_living15,sqft_lot15
15276,8651720420,513000.0,4,2.5,1930,8040,1.0,1380,550,1978,2080,7200
12639,3298200790,475000.0,3,1.0,1270,8000,1.0,1270,0,1959,1210,7875
7152,4037200585,394950.0,3,2.5,1090,7700,1.0,1090,0,1957,1740,7700
3035,1329000090,1799000.0,4,3.5,3930,39098,2.0,3930,0,1999,4250,38682
20818,9279700013,1250000.0,3,3.0,3460,5353,2.0,2850,610,2007,2460,6325
17842,4151800265,550000.0,3,1.0,1010,6120,1.0,1010,0,1942,1260,5977
13631,7760400210,255000.0,3,2.0,1310,8454,1.0,1310,0,1994,1310,8454
3142,5029450110,215000.0,3,1.5,1410,8415,1.0,780,630,1982,1440,7361
19746,9492500160,889950.0,4,2.75,3080,7242,2.0,3080,0,2014,3010,7205
10586,3578400270,430000.0,3,1.75,1300,12731,1.0,1300,0,1981,1700,13556
18338,7606200090,208000.0,2,1.0,1160,5750,1.0,1160,0,1924,1160,8250
21245,3682000050,349950.0,4,2.5,2632,4117,2.0,2632,0,2013,2040,5195
16420,1250200415,352750.0,2,1.75,1060,1241,2.0,960,100,2008,1170,1400
9931,629811600,672800.0,4,2.5,2740,10533,2.0,2740,0,1997,2760,8603
4525,1839500115,320000.0,4,1.5,2220,6811,1.0,1270,950,1961,1800,7350
18226,1176001293,2475000.0,3,3.25,4340,4947,2.0,3060,1280,1993,1680,5250
8373,3013300409,400000.0,2,1.0,1220,6300,1.0,760,460,1942,1850,4886
20607,7853280370,805000.0,5,4.5,4600,7810,2.0,3200,1400,2006,4480,6324
898,3275780030,730000.0,4,2.25,2190,9009,2.0,1840,350,1977,2190,10251
6369,3336001946,263300.0,2,1.0,900,4500,1.0,900,0,1951,1175,5320
3529,5456000110,865000.0,5,3.0,2830,8854,1.0,1500,1330,1979,2260,8604
10274,2473250400,325000.0,4,2.0,1780,10622,1.0,900,880,1976,1550,8900
17775,5393601635,515000.0,5,2.0,2220,6000,1.5,1390,830,1925,1600,6000
4819,8820902905,375000.0,3,1.5,1240,7733,1.0,790,450,1941,1130,7733
11369,1245001659,775000.0,3,2.5,1980,7807,2.0,1980,0,1989,1590,7579
5841,1523069215,435000.0,3,1.75,2220,132858,1.0,1110,1110,1988,2130,77536
12914,930000234,525000.0,4,2.0,2260,7680,1.0,1130,1130,1947,1800,7680
3522,4083301645,525000.0,3,1.0,1550,6840,1.5,1550,0,1918,2370,4560
4165,4055700778,523000.0,4,2.5,3180,20870,2.0,2120,1060,1967,2700,14190
21096,2781230080,431000.0,4,2.5,3040,6000,2.0,3040,0,2007,2640,6000
18686,3629910210,699950.0,3,2.5,2510,4106,2.0,2510,0,2003,2470,4106
9939,7856700060,893880.0,6,2.5,2820,8600,1.0,1430,1390,1967,2070,8900
20701,7589700055,545000.0,2,1.25,1240,2150,2.0,1240,0,2014,1340,5289
8342,3888100043,350000.0,3,1.0,1010,9360,1.0,1010,0,1981,1470,9360
2992,6381501636,320000.0,3,1.0,1780,6840,2.0,1780,0,1947,1410,7200
16421,3303951150,424950.0,4,2.5,2480,8563,2.0,2480,0,1992,2460,8660
15004,8638500170,233000.0,3,1.0,1980,8505,1.0,1030,950,1965,1830,8505
21229,5635100050,380000.0,4,3.25,2864,8035,3.0,2864,0,2014,2419,8984
18926,8820901792,640000.0,4,2.75,3040,7274,2.0,2320,720,1986,2830,10080
8644,5456000025,1438890.0,5,3.5,3420,8000,2.0,3420,0,2006,1900,8000
11505,985001275,250000.0,1,1.0,800,16306,1.0,680,120,1931,1270,8666
11788,9560500105,957000.0,4,2.25,2860,11545,1.0,1430,1430,1966,2190,11396
11354,1421069117,240000.0,3,1.5,1460,13503,1.0,1460,0,1977,1460,13394
8341,4154300296,545000.0,3,1.0,960,5030,1.0,960,0,1955,1460,5400
17603,795000620,124000.0,3,1.0,1080,6250,1.0,1080,0,1950,1070,6250
15669,9828702335,570000.0,2,2.0,1140,690,2.0,760,380,2014,1480,1171
218,1250202145,1072000.0,2,2.25,3900,14864,1.0,1950,1950,1947,2580,5184
2235,1163400070,220000.0,3,1.0,1660,21514,1.0,1660,0,1973,1660,21600
8139,5652600065,760000.0,5,1.75,2660,10637,1.5,1670,990,1922,1570,6825
21119,1042700050,769995.0,5,2.75,3010,5398,2.0,3010,0,2014,3360,5407
1827,8899210320,360000.0,3,2.25,2200,8000,2.0,2200,0,1981,2170,8000
12287,1651800030,1650000.0,4,2.25,2920,20400,1.0,2920,0,1966,3080,20400
17099,2919201365,650000.0,4,2.75,2610,4160,3.0,1910,700,1910,1470,4140
5635,4365200895,364000.0,4,1.0,1210,7740,1.5,1210,0,1922,1100,7740
18779,6841700100,740000.0,3,3.5,2420,4000,2.0,1820,600,1907,2030,4550
828,7376300060,465750.0,3,1.5,1260,10350,1.0,1260,0,1959,1800,10350
8604,7852090180,538500.0,3,3.5,2500,4270,2.0,2500,0,2000,2420,4205
11418,9222400565,474000.0,2,1.0,1100,3500,1.0,1100,0,1908,2050,4000
10796,9542400075,809950.0,4,2.0,2230,9900,1.5,2230,0,1959,2510,11041
13996,7338000150,160000.0,2,1.0,1070,4200,1.0,1070,0,1983,1150,4200
7661,4322500110,670000.0,3,1.75,2160,5760,1.0,1260,900,1954,2090,5760
19878,7694200070,334990.0,4,2.5,2220,4228,2.0,2220,0,2014,2220,4157
5217,9321010130,278500.0,3,1.75,1390,8980,1.0,1390,0,1985,1770,9085
18202,3204300455,1385000.0,3,2.25,2930,6000,2.0,1920,1010,2000,1870,5040
18484,6706000040,330000.0,4,2.25,2000,10679,1.0,1350,650,1960,1650,8875
15052,1565930130,429900.0,4,3.25,3760,4675,2.0,2740,1020,2007,3280,4033
17106,3279000420,233000.0,3,1.75,1460,7800,1.0,1040,420,1979,1310,7865
1599,194000575,455000.0,4,1.0,1340,5800,1.5,1340,0,1914,1900,5800
11568,2115510160,258950.0,3,1.75,1440,8050,1.0,1440,0,1985,1790,7488
4836,7522500005,555000.0,2,1.5,1780,4750,1.0,1080,700,1947,1690,5962
1642,3787000140,450000.0,3,2.25,1780,9969,1.0,1450,330,1985,1950,7974
18363,7852110690,622500.0,4,2.5,2980,8107,2.0,2980,0,2000,2750,7760
2041,5469700260,340000.0,4,2.25,2530,24700,2.0,2530,0,1974,2650,24700
19349,8691410730,708000.0,4,2.5,3090,5600,2.0,3090,0,2005,3080,5788
9231,114100763,230000.0,3,0.75,1040,15000,1.0,1040,0,1941,1410,19000
9409,1257202430,1008000.0,4,3.5,2650,3060,2.0,2060,590,2001,1470,3060
7451,7000100635,600000.0,3,1.0,940,19000,1.0,940,0,1945,2280,19000
4563,1900000195,100000.0,2,1.0,930,7623,1.0,930,0,1942,1300,7641
13542,251500330,1775000.0,3,2.25,4320,19225,1.0,2160,2160,1972,3430,18469
14034,7701960210,875000.0,4,2.5,3030,16000,2.0,3030,0,1990,3670,16641
18151,4037000065,412000.0,3,1.5,1320,8000,1.0,1320,0,1957,1720,8100
1713,522059299,300000.0,3,1.75,1280,12776,1.0,1280,0,1977,1680,11704
11625,6072300800,595000.0,4,1.75,2510,8989,1.0,1680,830,1964,2510,8931
16692,6821102358,540000.0,3,2.25,1670,3135,2.0,1220,450,2002,1630,1596
9712,5029450200,265000.0,3,1.5,1520,6805,1.0,1040,480,1981,1440,7041
11898,8860310240,505000.0,3,1.75,2300,11400,1.0,1520,780,1977,2300,10140
10411,826000295,379950.0,2,1.0,870,7500,1.0,870,0,1947,1240,5709
18678,9417400110,390000.0,4,1.0,1280,4840,1.0,940,340,1950,1360,4840
15580,3959400345,589500.0,4,1.5,3520,4933,1.5,2270,1250,1929,1710,5400
6682,8899000430,325500.0,4,1.75,2290,8142,1.0,1490,800,1969,1840,8142
696,7527200030,700000.0,5,2.5,2830,25958,1.0,1610,1220,1979,2670,21567
8764,8562720410,1200000.0,5,3.25,4610,10576,2.0,3310,1300,2006,4042,8321
520,1432400335,288000.0,3,1.0,1190,7560,1.0,1190,0,1958,1190,7560
11584,6699940320,359900.0,4,2.5,2600,5188,2.0,2600,0,2005,2610,5188
7932,2525059172,664000.0,6,2.5,3190,12196,2.0,3190,0,1979,2790,13068
19949,7548301044,342500.0,2,1.5,1320,826,2.0,1100,220,2008,1340,1213
6535,2141300420,775000.0,3,2.75,2850,14800,1.0,1920,930,1976,3300,10809
1393,5100401414,490000.0,2,1.0,880,6380,1.0,880,0,1938,1340,6380
12934,7346600092,327200.0,2,2.0,1440,8425,1.0,1440,0,1942,1430,12037
962,6852700478,425000.0,2,1.0,970,2970,1.0,970,0,1910,1670,3000
15986,87000213,129000.0,2,1.0,1150,30184,1.0,1150,0,1950,1670,19684
10130,5416500260,285000.0,3,2.5,1890,3629,2.0,1890,0,2005,1980,4000
4044,322059097,269900.0,3,1.5,1420,22100,1.0,1420,0,1957,1540,21780
17077,7229900005,350000.0,3,1.5,1860,17640,1.0,1860,0,1966,1860,17820
12252,7116000350,128750.0,3,1.0,880,7004,1.0,880,0,1950,880,7828
9016,3739500096,229000.0,3,2.0,1540,6000,1.0,1540,0,1953,1490,8213
3733,6744700900,795000.0,4,2.5,2570,13450,1.0,1510,1060,1948,3470,12615
327,1959700550,740000.0,4,2.0,2050,4400,1.5,2050,0,1922,2320,5500
11678,5589300435,359000.0,4,1.0,2180,10617,1.5,2180,0,1950,1360,9519
664,1775920350,323000.0,3,1.0,1290,12231,1.0,1290,0,1976,1390,11632
8878,3750607974,280000.0,4,2.0,2190,14439,1.0,1180,1010,1977,2160,14439
10527,5318100935,850000.0,3,2.0,1540,3600,2.0,1540,0,1900,2970,3600
17250,1442700430,499950.0,5,2.5,3180,23809,1.0,3180,0,1978,2500,15778
10217,9346700030,685000.0,4,2.0,2260,10800,1.0,2260,0,1978,2650,9900
6847,1841500050,334950.0,4,1.75,1700,40973,1.0,1700,0,1961,2760,40973
8913,7278100665,370000.0,3,1.0,1060,7419,1.0,1060,0,1906,2190,5953
16410,8635750980,570000.0,4,2.5,2640,4200,2.0,2640,0,1998,2460,4200
11269,6909700340,619000.0,3,2.0,1990,3000,1.5,1430,560,1927,1780,5000
13620,7011201475,780000.0,3,3.0,2520,2152,1.5,1560,960,1925,1140,2152
18818,9348500220,555000.0,3,3.0,2410,12183,2.0,2410,0,1988,2540,9979
17618,3876313170,436000.0,3,2.25,1770,8000,1.0,1350,420,1976,1850,7875
6234,2195700050,810000.0,4,2.5,3480,59242,2.0,3480,0,1988,2930,39400
12386,3760100200,395000.0,5,1.75,2100,9599,1.0,1060,1040,1961,1680,10712
17999,3396800120,540000.0,3,2.5,2180,11100,1.0,1230,950,1983,1930,12000
14810,3750603685,250000.0,3,1.5,2030,14400,1.0,1310,720,1969,1330,14400
3328,9828702310,487028.0,2,1.5,1295,1093,2.0,1105,190,2007,1295,1413
5584,8656300380,272000.0,3,2.5,1650,13816,2.0,1650,0,1998,1650,15144
21301,1438000170,612995.0,5,3.5,3240,6919,2.0,2760,480,2014,2970,5690
13872,2423069164,500000.0,3,2.0,1990,65340,2.0,1990,0,1986,2120,59241
14739,2112700845,270000.0,3,1.75,1300,4127,1.0,650,650,1918,1420,4000
11659,7635801370,530000.0,3,2.0,3080,17700,1.0,1740,1340,1965,2100,15100
2595,8572900135,399500.0,3,1.75,2420,12676,2.0,2420,0,1911,1210,6769
9313,7504010590,790000.0,4,3.0,3180,12070,2.0,3180,0,1976,3110,12600
10299,6821100125,529500.0,2,1.0,900,4800,1.0,780,120,1944,1270,5520
3616,4310702775,280000.0,2,1.5,800,1196,2.0,800,0,2003,1020,1087
13985,2591010180,379000.0,3,2.5,1530,2913,2.0,1530,0,1986,1370,3783
17300,9828700235,669000.0,3,1.0,1560,4500,1.5,1560,0,1915,1530,4500
2323,9376301180,552500.0,3,1.0,1430,5000,1.0,1430,0,1949,1210,5000
20039,1646502355,1280000.0,4,3.25,3080,4120,2.0,2380,700,2014,1410,4120
11815,1498301672,467000.0,5,2.0,2080,4000,1.0,1040,1040,1909,1940,6000
10604,7715600070,385000.0,3,1.75,1560,14288,1.0,780,780,1944,1320,8928
2767,7283900045,549950.0,3,2.5,2160,6288,2.0,2160,0,1996,1830,7600
4226,522069119,550000.0,3,2.5,2720,62310,1.0,2040,680,1985,2770,204296
101,5200100125,555000.0,3,2.0,1980,3478,1.5,1440,540,1929,1610,3478
19199,826069184,535000.0,3,2.5,1960,47044,2.0,1960,0,1978,2020,29004
18730,3271300155,759000.0,3,1.5,1980,5800,1.0,1520,460,1949,2280,5800
1534,4444800045,657500.0,4,1.75,1620,7560,1.0,1380,240,1947,2170,8650
21504,8682291050,810000.0,2,2.75,2700,8572,1.0,2700,0,2007,2680,8569
18990,2770605420,550000.0,2,0.75,1040,4000,1.0,930,110,1909,1700,4800
19086,1556200205,774900.0,5,1.0,1750,3861,1.5,1750,0,1903,1700,4255
12609,269000970,1300000.0,5,3.75,4450,7680,2.0,3460,990,2010,2550,6400
17736,9264900880,263000.0,3,1.75,1790,7485,1.0,1330,460,1979,1970,8097
9841,2323059074,137124.0,3,1.0,960,27442,1.0,960,0,1970,1100,29019
2140,1224059053,1700000.0,5,2.0,2500,15250,2.0,2500,0,1942,1880,18782
17668,3755500065,465000.0,3,2.0,1430,14250,1.0,1430,0,1953,1530,11475
7241,2571900430,315000.0,4,2.5,2740,8400,1.5,2740,0,1993,2030,8638
10624,3705000070,267500.0,3,2.25,2080,2856,1.5,1550,530,2003,2080,2275
5736,824069173,600000.0,3,2.5,2320,52272,1.5,2320,0,1974,2200,52272
5570,1735800050,142500.0,1,1.0,690,6825,1.0,690,0,1917,1330,5381
3386,3025059089,950000.0,3,1.5,1700,8050,1.0,1130,570,1950,2920,12239
21350,6132600655,930000.0,3,2.25,2890,5000,3.0,2890,0,2014,2020,5000
16804,1068000255,1650000.0,4,3.5,4285,9567,2.0,3485,800,1946,2960,6902
18182,3052700921,900000.0,6,3.0,2620,4350,1.0,1760,860,1957,1760,4300
12789,3024089057,282500.0,4,1.0,1170,34925,1.0,1170,0,1942,1610,28108
9676,7390400026,315000.0,4,1.75,1850,8580,1.0,1140,710,1960,2210,9240
5277,1787600224,390000.0,3,2.5,1640,6991,1.0,1110,530,1967,1860,7342
5598,2923049372,362000.0,3,2.25,1640,14374,1.0,1140,500,1963,2020,10500
17560,7015201015,879000.0,3,3.0,3030,5156,1.5,2080,950,1929,1910,5720
13463,7701990040,840000.0,4,3.5,3860,18334,2.0,3120,740,1996,3550,18334
3958,1925059194,1145000.0,4,2.25,2840,20242,1.0,2240,600,1972,2840,20372
19703,301401370,319900.0,4,2.75,2475,4276,2.0,2475,0,2014,2475,4000
11921,1931300955,525000.0,1,1.0,830,3200,1.0,830,0,1924,1350,2512
2388,2395710070,340000.0,4,2.25,2230,6791,2.0,2230,0,2005,2420,6297
12367,2591820070,380000.0,3,2.5,2390,8102,2.0,2390,0,1986,2310,8606
3919,7883604065,210000.0,2,1.0,1100,6000,1.5,1100,0,1900,1280,6000
11237,808300200,468000.0,4,2.5,3040,20682,2.0,3040,0,2000,2670,9742
2346,1421069159,520000.0,3,2.5,2280,58712,2.5,2280,0,1987,2240,24332
20907,8562780540,325000.0,2,2.25,1150,711,2.0,1150,0,2013,1150,748
3316,2787720300,410000.0,3,1.75,1880,8424,1.0,1380,500,1977,1970,8523
19742,2349300069,301500.0,2,1.5,830,1333,2.0,830,0,2005,1120,4822
12824,739000035,291970.0,1,1.0,680,21727,1.0,680,0,1952,1470,19406
19480,2397101460,885000.0,2,2.0,1313,3600,1.0,1313,0,1904,1080,3600
20088,7625702437,389000.0,3,2.5,1350,874,3.0,1270,80,2006,1350,886
2621,5101406441,490000.0,3,1.0,1600,6380,1.5,1400,200,1939,1760,6380
16697,3323500010,1150000.0,3,2.5,2100,15120,1.0,2100,0,1953,3070,16078
1729,225039082,620000.0,5,2.5,2540,3832,2.0,1760,780,1929,2000,5289
2202,8078100260,340000.0,4,2.5,2360,7475,2.0,2360,0,1992,2280,7570
313,4139480200,1384000.0,4,3.25,4290,12103,1.0,2690,1600,1997,3860,11244
2450,7436300160,409900.0,2,2.5,1590,1845,2.0,1590,0,1997,2320,3174
13477,822039004,849900.0,2,2.0,2280,641203,2.0,2280,0,1990,2030,224334
16053,8651442910,247500.0,4,2.0,1710,5200,1.0,910,800,1977,1560,5200
11355,1370803510,790000.0,3,1.75,1790,6117,1.0,1350,440,1940,1960,5554
20457,3342100569,950000.0,3,2.5,2700,6947,2.0,2700,0,2013,2500,6947
251,1310430400,455000.0,4,2.5,3360,7685,2.0,3360,0,2001,3060,6567
3585,104540820,221000.0,3,2.25,1430,5999,2.0,1430,0,1987,1600,5999
20658,4305500030,625000.0,3,2.5,3220,6409,2.0,3220,0,2008,3330,6231
4344,993000090,752000.0,6,3.75,3810,6663,2.0,3810,0,1977,1610,4561
19549,8044050040,419950.0,4,2.5,2260,5164,2.0,2260,0,1996,2260,5866
5784,5707500050,739375.0,5,3.0,2640,3200,2.0,2140,500,1906,1540,2242
21276,6306800080,378950.0,4,2.5,1867,15314,2.0,1867,0,2013,2616,8048
6095,9206700190,713900.0,3,2.5,3370,167706,1.0,3370,0,2000,3350,213444
3000,8732040090,307450.0,4,2.75,2690,8874,1.0,1370,1320,1980,1990,7875
10882,3037200045,600000.0,2,2.0,990,5416,1.0,990,0,1935,1650,3360
4166,438000025,628000.0,4,2.0,2260,6000,1.0,1430,830,1958,2030,5874
4309,239000115,535000.0,2,1.75,2330,7280,1.0,1450,880,1982,1830,12178
14425,8929000230,550000.0,3,2.5,2010,2261,2.0,1390,620,2014,1690,1899
7883,7135520610,950000.0,4,3.5,4140,13392,2.0,4140,0,2000,4140,11529
10365,5561300340,599900.0,3,3.0,3030,35123,2.0,1760,1270,1984,2810,36205
13948,9530100085,790000.0,4,1.75,1820,6137,1.5,1690,130,1911,2130,5100
738,6613000140,1300000.0,3,3.25,3400,5979,2.0,2290,1110,1937,3090,6435
17227,8835210130,300000.0,2,1.5,1150,3927,2.0,1150,0,1982,1400,3425
14910,3782400190,329500.0,3,2.25,1500,9656,1.0,1170,330,1989,1690,9656
19094,379000051,307700.0,5,2.25,1980,13132,1.0,1260,720,1962,1880,11325
20462,3869900150,345000.0,2,1.75,1030,1106,2.0,765,265,2006,1030,1066
15184,4322200050,340000.0,3,2.0,1870,3378,1.0,1120,750,1913,1870,1872
16324,8961980290,666500.0,4,2.5,2860,6600,2.0,2860,0,2000,2790,6723
19544,2558670110,419000.0,3,2.25,1700,7650,1.0,1340,360,1975,1980,7200
15938,1124000010,500000.0,3,1.5,1320,8100,1.0,1320,0,1951,1480,8100
20831,3869900138,489950.0,3,2.25,1590,926,3.0,1590,0,2014,1640,1321
12767,7853300720,452500.0,4,2.5,2460,6454,2.0,2460,0,2006,2320,4578
7793,251300110,358000.0,3,2.25,2510,12013,2.0,2510,0,1988,1870,8017
19697,3904100041,290750.0,3,2.5,1270,865,2.0,1080,190,2008,1630,7752
9128,7701990300,862500.0,4,2.75,3280,24440,2.0,3280,0,1996,3490,25138
5116,8682231190,542000.0,2,2.0,1930,4500,1.0,1930,0,2003,1670,5200
2751,7888200240,265000.0,4,1.5,1240,8158,1.0,1110,130,1961,1520,8147
13108,2025700730,287200.0,3,3.0,1850,19966,1.0,1090,760,1992,1410,6715
1911,3066410800,685000.0,4,2.5,2770,10051,2.0,2770,0,1987,2730,10675
14206,7576200040,689888.0,4,2.25,1930,3500,1.5,1540,390,1916,1800,5000
8195,2526069095,955000.0,4,4.25,5660,193593,2.0,4100,1560,2001,3620,207141
20969,2781270530,193000.0,2,1.75,910,2550,1.0,910,0,2004,1310,2550
17176,3763300005,325000.0,4,2.25,1870,9680,1.0,1170,700,1959,2000,9790
10287,1523049083,196700.0,2,1.0,1090,9994,1.0,1090,0,1954,1090,11700
11677,923049468,218000.0,3,1.0,980,12812,1.0,980,0,1956,1430,8986
20235,3303700221,735000.0,3,2.25,1490,1212,2.0,1040,450,2011,1490,1337
11378,1502400140,275900.0,3,1.75,1380,8400,1.0,1380,0,1967,1540,8400
2153,2880100160,1010000.0,4,3.5,3350,3752,2.0,2550,800,2007,1050,4960
4192,4083304535,1045000.0,4,2.75,2950,4560,2.0,1810,1140,1912,2000,4560
17856,8820902549,718000.0,3,1.75,2280,3446,2.0,2280,0,1949,1610,6670
9816,4139400060,845000.0,4,2.5,2970,9072,2.0,2970,0,1991,2740,8729
199,1222069094,385000.0,3,1.75,1350,155073,1.0,1350,0,1969,1560,50965
7782,9367200205,660000.0,2,1.0,1670,8195,1.0,1670,0,1954,1980,7500
14548,2734100736,249950.0,3,3.0,1790,2003,2.0,1480,310,2006,1220,4000
4178,3856904580,790000.0,3,1.75,2050,4080,2.0,2050,0,1991,1890,4080
13307,3812400789,340000.0,3,2.0,1460,5715,1.0,1460,0,1957,1400,5715
8807,3303980090,1050000.0,4,2.5,4080,11054,2.0,4080,0,2001,3520,11914
3703,1314300018,367500.0,3,3.25,1400,1343,2.0,1160,240,2005,1400,1326
10346,9522400350,500000.0,4,2.25,2490,23478,2.0,2490,0,1981,2030,12611
6904,7524350080,349900.0,4,2.5,2290,8796,2.0,2290,0,1994,2130,8796
11614,9406520260,311000.0,4,2.5,1975,8734,2.0,1975,0,1996,1975,8538
16912,3278602040,346500.0,3,3.25,1570,2048,2.0,1290,280,2006,1570,2006
18933,7696620100,254999.0,3,1.0,1580,7560,1.0,1000,580,1976,1580,7560
15952,3751600635,264500.0,3,1.5,1580,14040,1.0,1050,530,1980,2240,12000
18194,6365900065,334850.0,2,1.0,870,5635,1.0,870,0,1948,1310,5750
18219,8732800100,312000.0,4,2.0,1890,8362,1.0,1890,0,1966,1600,9257
14710,3876540410,242000.0,3,2.25,1690,7292,1.0,1250,440,1985,1670,7747
15110,7349660050,268000.0,3,1.75,1600,7711,1.0,1600,0,1999,2100,7711
12692,1036700220,470000.0,4,2.0,2410,4680,2.0,2410,0,1974,1910,4611
12077,5417600200,285000.0,3,1.75,1930,7200,1.5,1930,0,1929,1350,9000
127,8732020310,260000.0,4,2.25,2160,8811,1.0,1360,800,1978,2090,8400
1355,6844703240,1075000.0,3,2.5,3280,10302,1.0,1680,1600,1970,1550,6300
19191,923059206,374000.0,4,1.75,2220,15600,1.0,1140,1080,1963,1670,4800
8198,4038700220,610000.0,6,2.75,2040,8560,1.0,1100,940,1961,2230,8560
18573,2597520900,768000.0,3,2.5,2660,10928,2.0,1830,830,1988,2800,10025
21033,7203230040,1049990.0,5,3.25,4240,9588,2.0,4240,0,2014,4080,8425
15403,8820903560,380000.0,2,1.0,700,4836,1.0,700,0,1926,1190,7050
18756,424069112,999000.0,4,2.75,2800,19168,2.0,2800,0,1992,2010,16020
19755,6056100102,569900.0,5,3.25,2360,3873,2.0,1990,370,2006,1720,3071
10927,1823069155,525888.0,5,1.75,2550,71874,1.0,1810,740,1960,2170,51400
14774,9412400220,1612500.0,4,2.75,5470,18200,2.0,3730,1740,1992,3620,15100
5388,6851700381,935000.0,4,2.0,2580,4500,2.0,1850,730,1905,2590,4100
12724,13001215,130000.0,3,1.0,1100,5100,1.0,1100,0,1913,1450,5100
1338,3630180340,825000.0,4,2.5,3370,5000,2.0,3370,0,2006,3370,5237
12374,6746701090,680000.0,6,2.0,1670,3000,1.0,900,770,1911,1330,1099
21585,3832050760,270000.0,3,2.5,1870,5000,2.0,1870,0,2009,2170,5399
9149,369000690,403504.0,4,1.0,1060,5750,1.0,950,110,1904,1790,5857
4990,6071900130,550000.0,3,1.75,1670,10798,1.0,1670,0,1962,2290,10798
13579,7266200085,780000.0,5,1.75,2330,3800,1.5,1360,970,1927,2100,3800
10049,1473120390,439000.0,4,2.5,2690,9551,2.0,2690,0,1992,2890,9121
13786,9523100458,549000.0,2,2.5,1380,953,3.0,1380,0,2006,1430,3400
2127,4345000510,325000.0,3,2.5,1800,8518,2.0,1800,0,1996,1770,7570
18263,6600220090,475000.0,2,2.5,1620,14467,2.0,1620,0,1981,1470,13615
59,8079040320,430000.0,4,3.0,1850,9976,2.0,1850,0,1991,2270,8542
10216,1357900060,515000.0,3,2.5,1800,5001,2.0,1800,0,1996,2106,5618
2534,3996900295,358000.0,2,1.0,1140,8340,1.0,1140,0,1948,1030,8149
6340,1442700250,480000.0,4,2.5,3620,16000,2.0,3620,0,1976,2590,16000
8197,5021900175,500000.0,3,1.75,1540,10800,1.0,770,770,1947,2020,10800
4978,4365700130,210000.0,3,1.0,1660,7440,1.0,1270,390,1957,1540,7440
1163,3876100320,482500.0,6,4.5,2940,7500,1.5,2940,0,1966,2010,7500
8270,2124069103,374000.0,3,1.75,1510,18439,1.0,1510,0,1971,1600,34326
410,6700400140,268000.0,3,2.5,1550,8134,2.0,1550,0,1991,1550,8134
1006,7852090810,515000.0,3,2.5,2430,4203,2.0,2430,0,2001,2500,4798
3070,1454600038,985000.0,5,3.5,3890,13261,2.0,2870,1020,1984,3080,13261
6497,4137000250,355000.0,4,2.5,2130,9268,2.0,2130,0,1985,2100,8400
16007,9826700726,505000.0,3,2.5,1995,1483,3.0,1760,235,2005,1520,1173
14633,6716700325,385000.0,3,1.0,1030,3000,1.0,830,200,1924,1830,3000
19218,8562750300,589000.0,3,2.5,2320,5663,2.0,2320,0,2003,2500,4500
15722,9315600050,1675000.0,5,3.25,4560,19080,1.0,2490,2070,1963,3390,20140
16946,2790410250,615000.0,4,1.75,2300,11700,1.0,1960,340,1977,2840,12000
16263,7732410130,600000.0,3,2.25,2230,9053,2.0,2230,0,1987,2390,8038
3710,1387301730,361000.0,3,1.5,1200,7236,1.0,1200,0,1975,1680,7800
18883,1568100220,350000.0,3,1.0,1010,8551,1.0,1010,0,1953,1310,8504
17958,3975400085,850000.0,4,3.0,3330,4000,1.0,1790,1540,1958,1610,4000
3351,339600110,395000.0,3,2.5,1610,3755,2.0,1610,0,1987,1300,3823
15143,7888400500,285000.0,5,1.5,1840,8050,1.5,1840,0,1962,1690,8151
17465,1842390130,650000.0,4,2.5,2620,19864,2.0,2620,0,1984,2500,13285
3043,7595700025,430000.0,2,1.0,990,4920,1.0,990,0,1931,990,4960
11311,2158900140,695000.0,3,3.75,2380,3600,1.5,1690,690,1927,1990,3520
2250,6151800070,700000.0,3,1.75,2600,7668,1.0,1300,1300,1968,1980,13664
7703,9294300515,775000.0,3,2.0,2010,7017,2.0,2010,0,1951,2450,6045
7459,1250202660,825000.0,4,1.0,2290,6300,1.5,2150,140,1921,2390,6300
16594,9106000005,1310000.0,4,2.25,3750,5000,2.0,2440,1310,1924,2170,4590
9618,5035300085,730000.0,4,2.0,2360,6000,1.0,1260,1100,1939,1720,6000
15351,8898700440,290000.0,2,2.0,1590,9375,1.0,910,680,1983,1560,8524
18464,723049197,195000.0,2,1.0,1020,8100,1.0,1020,0,1940,1200,12500
12956,2019200220,269000.0,3,2.25,1470,8682,1.0,1160,310,1985,1670,8359
5995,2926049408,400000.0,3,2.0,3000,17800,1.0,1500,1500,1962,2400,8300
21158,4233600190,1065000.0,3,4.0,3370,8252,2.0,3370,0,2014,3710,8252
19645,9268851860,425000.0,3,2.25,1620,997,2.5,1540,80,2010,1620,1068
14273,5458800620,685000.0,3,1.75,1650,8400,1.0,1470,180,1959,2020,7777
8396,424069096,460000.0,3,1.75,1400,12155,1.0,1400,0,1977,2540,23522
17887,8150100265,255000.0,2,1.0,620,4760,1.0,620,0,1941,620,4760
9577,2742100085,449500.0,6,4.0,2280,5275,1.0,1270,1010,1998,1760,6642
15339,8045600130,425000.0,4,2.75,1680,9545,1.0,1080,600,1979,1890,9545
15844,8039900086,251000.0,3,1.75,1220,7250,1.0,1220,0,1962,1700,15251
5250,4131500190,379000.0,5,2.5,2803,8550,1.0,2803,0,1963,1810,8550
